name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"bloomington, mn",2024-06-23,83.8,55,70,82.7,55,69.9,57.1,67.1,0,0,0,,0,0,28.8,15,306,1010.9,48.2,9.9,196,16.8,10,10,2024-06-23T05:28:01,2024-06-23T21:03:17,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-24,85,64.8,75.9,89.6,64.8,77.4,64.9,70,0,0,0,,0,0,35,18.9,123.6,1007.5,48.6,9.8,203.8,17.5,10,100,2024-06-24T05:28:20,2024-06-24T21:03:22,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-25,84,74,79.2,85.1,74,79,60.5,55.7,0,0,0,,0,0,21.9,12.9,292.9,1006.6,31.8,9.9,171.8,15,7,75,2024-06-25T05:28:42,2024-06-25T21:03:24,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,72658014922,KMSP,72660304974,F1349"
"bloomington, mn",2024-06-26,79.1,68,73.5,79.1,68,73.5,54.6,52.3,0.002,100,4.17,rain,0,0,26.5,15.1,331,1012.9,31.3,9.8,213.6,18.5,10,10,2024-06-26T05:29:06,2024-06-26T21:03:24,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-27,75.4,59.7,67.7,75.4,59.7,67.7,57,69.7,0.044,100,16.67,rain,0,0,20.8,10.3,125,1013.6,54.7,9.7,89.6,7.7,5,10,2024-06-27T05:29:31,2024-06-27T21:03:22,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-28,77.9,65.3,70.7,77.9,65.3,70.7,65.4,83.7,0.735,100,41.67,rain,0,0,34.2,21.2,172.5,1003.1,92.2,9.1,78.6,6.6,4,30,2024-06-28T05:29:59,2024-06-28T21:03:17,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-29,71.2,61.8,68.1,71.2,61.8,68.1,55.9,66.8,0.001,100,4.17,rain,0,0,31.5,18.7,310.5,1013.2,42.2,9.6,174.6,15.2,9,30,2024-06-29T05:30:28,2024-06-29T21:03:10,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-30,73.3,54.2,64.8,73.3,54.2,64.8,46.2,53.8,0,0,0,,0,0,9.2,7.1,55.4,1026.2,7.9,9.9,245.5,21.2,9,10,2024-06-30T05:31:00,2024-06-30T21:03:01,0.81,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-01,75.4,59.7,67.8,75.4,59.7,67.8,49.5,52.9,0.007,100,4.17,rain,0,0,32,20.6,156.7,1019.8,49.6,9.9,180.8,15.6,8,10,2024-07-01T05:31:33,2024-07-01T21:02:49,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-07-02,72.9,59.6,66.7,72.9,59.6,66.7,61.4,83.4,0.333,100,16.67,rain,0,0,27.7,13.5,182.6,1008.8,86.6,8.7,52.9,4.5,2,10,2024-07-02T05:32:08,2024-07-02T21:02:35,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
